interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_short_name,location_type,lmp
2022-01-01T06:05:00-05:00,2022-01-01 11:05:00+00:00,2022-01-01T06:10:00-05:00,2022-01-01 11:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.983489
2022-01-01T06:10:00-05:00,2022-01-01 11:10:00+00:00,2022-01-01T06:15:00-05:00,2022-01-01 11:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.484063
2022-01-01T06:15:00-05:00,2022-01-01 11:15:00+00:00,2022-01-01T06:20:00-05:00,2022-01-01 11:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.398165
2022-01-01T06:20:00-05:00,2022-01-01 11:20:00+00:00,2022-01-01T06:25:00-05:00,2022-01-01 11:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.893475
2022-01-01T06:25:00-05:00,2022-01-01 11:25:00+00:00,2022-01-01T06:30:00-05:00,2022-01-01 11:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.941974
2022-01-01T06:30:00-05:00,2022-01-01 11:30:00+00:00,2022-01-01T06:35:00-05:00,2022-01-01 11:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.034626
2022-01-01T06:35:00-05:00,2022-01-01 11:35:00+00:00,2022-01-01T06:40:00-05:00,2022-01-01 11:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.105552
2022-01-01T06:40:00-05:00,2022-01-01 11:40:00+00:00,2022-01-01T06:45:00-05:00,2022-01-01 11:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.188139
2022-01-01T06:45:00-05:00,2022-01-01 11:45:00+00:00,2022-01-01T06:50:00-05:00,2022-01-01 11:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.385835
2022-01-01T06:50:00-05:00,2022-01-01 11:50:00+00:00,2022-01-01T06:55:00-05:00,2022-01-01 11:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.916665
2022-01-01T06:55:00-05:00,2022-01-01 11:55:00+00:00,2022-01-01T07:00:00-05:00,2022-01-01 12:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.009681
2022-01-01T07:00:00-05:00,2022-01-01 12:00:00+00:00,2022-01-01T07:05:00-05:00,2022-01-01 12:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.506386
